name,euc_dist,L1_dist,X2_distance,histogram_similarity,hellinger_kernel
bbdd_00256.pkl-bbdd_00049.pkl,0.10792614,1.3382342,193.10672,0.3308829,0.6609796
bbdd_00256.pkl-bbdd_00183.pkl,0.0964998,1.1914387,172.91312,0.40428066,0.73106796
bbdd_00256.pkl-bbdd_00123.pkl,0.08066198,0.8210071,97.11852,0.58949643,0.87758404
bbdd_00256.pkl-bbdd_00280.pkl,0.10360299,1.3303168,145.0763,0.33484167,0.71728295
bbdd_00256.pkl-bbdd_00246.pkl,0.06499415,0.6270925,125.79863,0.6864537,0.92192686
bbdd_00256.pkl-bbdd_00207.pkl,0.11571298,1.1908865,145.59659,0.4045568,0.6875522
bbdd_00256.pkl-bbdd_00265.pkl,0.062909715,0.76102674,122.757385,0.6194867,0.89038986
bbdd_00256.pkl-bbdd_00177.pkl,0.121837296,1.4578133,183.92003,0.27109337,0.61656606
bbdd_00256.pkl-bbdd_00102.pkl,0.12008778,1.079073,140.7883,0.46046352,0.7693893
bbdd_00256.pkl-bbdd_00103.pkl,0.05197982,0.5897452,90.42293,0.7051274,0.924848
bbdd_00256.pkl-bbdd_00242.pkl,0.043738797,0.5316616,120.32907,0.7341691,0.92861515
bbdd_00256.pkl-bbdd_00271.pkl,0.05799594,0.6548918,102.13327,0.6725541,0.9112619
bbdd_00256.pkl-bbdd_00272.pkl,0.1011413,1.2660434,172.78659,0.3669783,0.7327603
bbdd_00256.pkl-bbdd_00148.pkl,0.07844234,1.0643808,159.83923,0.46780962,0.73527443
bbdd_00256.pkl-bbdd_00135.pkl,0.07138986,0.80793214,101.03006,0.59603393,0.873386
bbdd_00256.pkl-bbdd_00112.pkl,0.115469754,1.3208642,179.58234,0.33956787,0.69174266
bbdd_00256.pkl-bbdd_00263.pkl,0.13092668,1.4462557,159.82692,0.27687216,0.62655157
bbdd_00256.pkl-bbdd_00050.pkl,0.07840048,0.85885334,142.21155,0.57057333,0.8540256
bbdd_00256.pkl-bbdd_00088.pkl,0.039793067,0.43297145,63.705517,0.78351426,0.9538204
bbdd_00256.pkl-bbdd_00181.pkl,0.0915781,1.1364808,160.06516,0.43175966,0.78814715
bbdd_00256.pkl-bbdd_00194.pkl,0.1656649,1.6090393,184.46863,0.19548033,0.5437127
bbdd_00256.pkl-bbdd_00200.pkl,0.08281316,1.0847095,147.07198,0.45764527,0.81913877
bbdd_00256.pkl-bbdd_00234.pkl,0.09495693,1.1949253,141.42001,0.40253735,0.76413834
